,model1,model2,model3,model4,model5,model6
0,3.6070535830379886,3.5475237087863443,3.140069848755566,1.2823355576076005,3.255076461874066,1.1168026137833116
1,3.85313001040765,3.9729346015116436,3.737961664856033,1.6365216137268985,4.393519395913655,1.619066186000513
2,3.181156166242722,3.3854005787214847,3.416845685568482,1.7307976041325106,3.339029960062188,1.2519846934798025
3,3.4624456459398334,3.4922362081738685,2.7949421139431445,0.9658865636963149,3.7067016697209083,0.7016079118764541
4,3.4143760463847452,3.719719142581118,3.4285363342004054,1.8702166651776337,3.762127185986743,2.25569074222065
5,3.2951298035970074,3.2390101079657416,3.3013744173941566,2.114257387952695,3.547483291758951,1.9930396898648808
6,3.2777176704888777,3.429072048787841,3.462987530687305,1.4175995053775412,3.2615888196404064,0.9757986848574922
7,3.1236559091419562,2.88662927764637,2.589729864902001,0.7208115732313696,3.2445570149591476,0.6400942976266111
8,2.978979775193611,3.5796092712991,3.015210755944202,1.233190518213783,3.492295090799921,1.454315900061356
9,3.6190648643977696,3.6317264202184067,3.2219101166899744,1.540862036467935,3.386322775095013,2.014307170348361
10,3.2138424410237336,3.4601535558769734,3.1604189257954296,1.7771619985000944,3.491594216769864,1.2942000110945293
11,3.400232362091216,3.200244156805133,3.071215266461518,1.6667985603600732,3.40608890689546,1.1872599647046311
12,4.001057190865654,4.3274139381277585,3.8038302028238364,1.3804371704234035,3.1380486451610325,1.17073054878811
13,2.8737465249716325,2.9729549196786245,2.7404233935408575,1.4484552168250582,3.174535309179221,1.5462083569563976
14,3.7248037294886953,3.1507053987097353,3.293165475237649,0.9897455302526201,3.4604518161759095,0.267332585070906
15,2.8269310898375206,3.117983398104534,3.2631356850670215,1.2846890040354915,3.4362330325443375,1.4294110184424977
16,3.6977499925334407,3.6437251086233715,3.6975154151030085,1.7497168245706038,3.631640573996563,1.3466261964908215
17,3.7447312162251487,3.500582904219144,3.6346833609525016,1.6375405779179615,3.3816165162225027,1.9162462921271954
18,3.4346209022344403,3.6207217247752026,3.517273906485374,1.9736564012642765,3.2626332465699965,1.7794952890615656
19,2.937210004051836,3.6873097778127564,3.6569670604709628,1.9453509987326127,3.866631999798426,2.005269997652699
20,3.7954774403621916,3.864984242199356,3.4049754138612816,1.5420145273201213,3.4819486946436946,1.3238123830977382
21,3.4233614284967895,3.4814432252964305,3.3379069545243563,2.313595042860544,3.3791737505746853,2.292453372879013
22,3.128960346466733,2.8927739298655957,2.9663130588611364,1.184663097098522,2.987453648819267,1.347575166600257
23,3.1075688440858134,3.1104262068542683,3.1360016309006404,2.0463583974976927,3.315858608802611,2.20276277914811
24,3.0747270617880504,3.2719050006914214,2.872531354086567,1.8129569719044467,3.6309018180993387,1.9085497114615322
25,4.238585641593538,3.9866706150892397,4.057087851075757,2.182956284615219,3.9627530991141318,1.5543789955590115
26,3.1897856466572234,2.9945875456740594,3.097394329416228,1.608452627095117,3.6134705161064544,2.009808876130439
27,4.162109325768188,3.749868164906524,3.6320129047853706,1.3939364813739,3.677474823915288,0.9642615620733046
28,2.907137566147264,3.25199150533583,3.2154102750179554,1.8183115592345034,3.4312104893415776,1.4021120975310162
29,3.3036479892373256,3.300204389146822,3.2656583896116835,1.8808678166721726,3.505655737308668,2.095043972415809
30,3.9470050647027217,3.6603377769284506,3.579678423031863,1.9688205618408936,3.9443180182486444,2.0550022586942296
31,3.132365411136722,2.949321647837251,3.3181639920937505,1.443241873877649,3.6125081490516537,1.0596116517816765
32,3.1164035973160544,3.1491444040489265,3.0890124642865273,2.6274381744467785,3.8426815652300013,2.9952323444710394
33,3.755206181095167,2.985068547139823,3.182084683728656,2.0469194181137604,3.3702292626741572,1.807707931467667
34,3.7926507845322335,3.3600234422704847,3.3023402365156995,1.1805099618644008,3.5488412197714188,0.6660990369437313
35,3.643341059771037,3.3692577599885505,3.3494687592486847,0.9559886429814066,3.573785438272891,0.5210491840718158
