,model1,model2,model3,model4,model5,model6
53,4.821524704956947,5.074405987362784,5.131955229717739,3.76976802988769,4.957474272788809,5.078430315916206
54,4.871824480020684,4.793385013327083,4.914836638663027,3.455140995876197,4.32933533168864,5.039218512676644
55,4.226082792917679,4.612300256030334,4.411844645723685,2.257401645271819,3.966023692093305,4.4267497847979875
56,4.302094069234516,4.587962279449315,4.565312316525339,3.0088026249809694,4.410650640957178,4.547576441718793
57,3.9509452528528017,4.155003016159079,4.557143701267053,1.9502447971444667,4.0572398855846865,4.606441482122132
58,3.916595004300102,4.2062250476854555,4.7356527392070715,2.61739106063633,4.2292675019088,4.549906761643347
59,4.031235977458784,4.2792040697345985,4.750506742304077,2.913137756878844,4.439336694861217,4.607959612530507
60,4.458433226424916,4.455432308074886,4.426190947864235,2.5042049023886896,4.107666652858078,4.648918396854071
61,4.1592481214413315,4.694452645596032,4.656845091060172,2.8213597561202337,4.3497703165952935,4.646875151899024
62,4.119952276249118,4.564395953072582,4.566223172149212,2.6310958107569657,4.485616847256797,4.7283697564646765
63,4.248440665814686,4.651739535668655,4.787935263725156,3.141638509956509,4.566540964424902,4.732535926508657
64,3.7874011311116673,4.841554846376631,5.189028434646935,3.0795433091486206,4.717457886367704,5.04497672991013
65,4.248553901868922,4.8765422932118145,5.089764224467798,3.492050425573423,4.972701105343057,5.05205436461907
66,4.802086944618075,5.0167068564516315,4.563643865235653,3.76651985813118,4.410323069040752,5.158756881052882
67,4.213023777028733,4.989497470128124,5.003541361432333,3.147476305923679,5.266732883961085,5.3751379478482795
68,4.747964207439802,5.117254408793931,5.187060555151436,3.203561338309843,4.90339841136141,5.135865214492879
69,3.8887760752628346,4.958392491689172,5.125469747879778,3.1250934703608855,5.005259690614448,4.988115438128511
70,4.339222625662056,5.263128251433315,5.361697209682273,3.4330480492457998,5.038001847298914,5.074471465693552
71,4.32973213323708,4.976901266798897,4.850218741089332,3.450097845337107,4.619897076407691,5.132499547295879
72,4.752258724336819,5.251330129770372,4.464355516837244,3.5905959302282224,4.540057966303329,4.956655837453542
73,4.447255004388463,5.150231939238959,5.157974897752749,3.2161414796334635,4.519255283316777,5.242729803150016
74,4.3593906253183645,4.746325934616377,4.671264662109435,3.471515542884579,4.252085284477515,4.609540424757408
75,4.050421999343224,4.107127548760286,4.62495437555952,2.4185872996711533,4.140320125146014,4.432812533069731
76,4.512242299339639,4.686763369782495,4.649847037605281,2.5961496347479374,4.588109437871661,4.615617091904644
77,3.5883217300209544,4.376938204141501,4.539664845984711,2.223092056727727,4.221418849831954,4.716260099551142
78,3.71252361904809,4.464457161117654,4.774072035491171,3.4902873026695813,4.352924924897761,4.679312509481325
79,4.317852319418878,4.660738240405008,4.562203345697478,2.529917093111453,4.232063883945655,4.6017386320579154
80,4.042945291881229,4.359293042881468,4.5377631767182205,2.762542280533424,4.449944920355946,4.639311586210799
81,4.429603156864865,4.637259236961021,4.596358365926999,3.5148787011864173,4.213682797473434,4.616334624505196
82,4.116043904595002,4.569327631159295,4.4845161514199825,3.1309537769892373,4.458077544920593,5.11345011887799
83,4.175244087106805,5.193680797287777,4.920966618340729,3.223114716495486,4.845044799543549,4.955330169987462
84,4.081424597518454,4.93060191111153,4.5827863536751305,3.711605139705748,4.423328179370107,5.154946681275598
