,model1,model2,model3,model4,model5,model6
0,5.086667907402041,4.775121618225759,4.967981589623623,2.9005720924531713,4.516600054033103,4.976610202782676
1,4.527463896703053,5.3374198665997685,5.137765767859298,3.6020121902219464,4.868483592004237,5.149911353975902
2,4.496900569035955,4.805188055634804,5.0271108946076515,3.0690447452793874,4.755126879519868,5.193961696586052
3,4.181362582761036,4.63529779705525,4.888106624372259,3.1543786140594317,4.390357845936957,4.5464484545486865
4,4.731525297609172,5.121728484172762,4.687547925156083,3.76034413226674,4.453672284404231,5.194740677231279
5,4.362106523381782,5.1399259436099625,5.282308437787276,3.4446260356725005,4.820691844571112,5.097763297370274
6,4.769915541656781,5.112916572006074,5.10813292200683,3.246783651994233,5.043676610358857,5.0652756782589305
7,3.585039809850889,4.390458628662071,4.626402929430435,2.8957692612650723,4.564729380663656,4.54175024331642
8,4.23522280660409,5.035659874782543,4.92458401878158,3.4364790302072565,4.702579218761097,5.140350096564019
9,4.448782094964197,4.794322969507708,4.48381870742218,3.3559608451109577,4.575213590288904,5.182707269542426
10,4.59212541375885,5.0307579227105155,5.094201917072116,3.338347604603571,4.95774611533879,5.100652747212682
11,4.641755280214519,4.86430001665744,4.665099018395105,2.790313624114093,4.364039387297936,4.9398893598657985
12,4.525946277578054,5.216244592193807,4.988160979378974,3.797731537198558,4.962308731899915,5.091888718877327
13,4.171834063397793,5.1873968703238775,5.114388952607818,3.355397521603819,5.089872300208217,4.948240093025326
14,4.728334080959391,5.322374630868953,5.298306475614741,3.364208388546755,4.938538181960721,5.248989052913372
15,4.694672474563227,4.848394944533098,5.147466742830796,2.954094883484213,5.007035081395484,5.049030738309308
16,4.284256501366125,4.989691267823495,5.0060417116903935,3.3960499993807542,5.215618122761186,5.165020205507346
17,4.687613004209392,4.694494819711884,4.346475334563836,3.1352627257390804,4.308626012431678,4.637628832566783
18,4.34256646186309,4.388423011547265,4.592128223671983,3.5176894799861165,4.488158199583109,4.577171383878694
19,4.658411780519862,4.952684439384427,5.05121048596933,3.4084556206504253,4.863846465558911,5.227675452651129
20,4.394597090362859,4.661416777047023,4.695037923554471,3.466302992264693,4.450702344679448,4.55738854546603
21,4.590910124805106,4.876573566731161,5.142858489606027,3.366238696021469,4.776463240916405,5.046397950897929
22,5.129730773622903,5.014101939700336,5.021239784340501,3.1722781496905434,5.221101733422303,5.016638027472285
23,4.433072377128868,5.057462064164985,5.314041220247004,3.2388135153622963,5.050493105117898,5.069658402099057
24,4.1214962501160635,4.459054941340058,4.63339989365486,2.5721088464065467,4.282689595614259,4.622214255259391
25,4.920461517614823,5.152687973820987,5.159888881386312,2.7904437158636486,5.2039543579072225,5.216545984224918
26,4.897464959073509,5.166199865304618,5.1731485506442825,2.981818088543705,5.001297583043171,5.14005844654738
