,model1,model2,model3,model4,model5,model6
0,0.2565875428749331,0.23896866624065038,0.19613007577638755,0.20447371762556563,0.2043798983032961,0.433370000897636
1,0.3355123764372153,0.28500904576565406,0.31316620383271887,0.26078342134198396,0.26072377389048906,0.39021217644880996
2,0.16165672351020022,0.23149508847597217,0.2244347692628369,0.15921609671965353,0.15898289893856793,0.30967426135526643
3,0.21284653513583957,0.1840564505137377,0.18288165481797156,0.2534853106320212,0.25364135246760783,0.29616558084929284
4,0.22316868824602806,0.1552304346773626,0.16364505817579608,0.14388575271157794,0.1437217300133178,0.4096358321198383
5,0.2796234389416743,0.2428229197409756,0.22293499963407992,0.22430937323867114,0.22404692920025635,0.46240015686837554
6,0.31807009629036237,0.28955117010601455,0.27826580987421945,0.20510735801213034,0.20481555846120766,0.4279683656373165
7,0.19887731478295734,0.2632008676354886,0.24428696566326816,0.16874616609570087,0.16854230866135314,0.35711167867103144
8,0.23971207332643904,0.18089071174431257,0.20027742178060157,0.24375177310298707,0.24372763250749657,0.3658966668069707
9,0.2283857885443122,0.2248799236633132,0.2221049336825383,0.21237987401895245,0.21213495262805698,0.38118750278693414
10,0.26987796252869684,0.2373905000179907,0.25589951179053977,0.35955954777552224,0.359524859433825,0.41901910388300845
11,0.28105775131757554,0.2548005439807854,0.26403289624066084,0.16690784578070325,0.1666870168618206,0.4399081314565781
12,0.3925875122207055,0.2994532900937034,0.29653464596845647,0.2376138033803007,0.23721008496747603,0.4010716178362361
13,0.22354002392898034,0.13651692721896705,0.13484084222428386,0.21775718998489943,0.21760905871362757,0.3790692895051676
14,0.30339343841431804,0.2177093034639272,0.24889373655051128,0.3561423573610024,0.35572899032146327,0.27851789580592035
15,0.3299388486301839,0.32223818237793067,0.3259087401300301,0.1734861255812449,0.17361865143940897,0.3677084842189107
16,0.32477294823455566,0.26325418394065253,0.255900996039216,0.26352383497761517,0.26334710130351796,0.29201566196701
17,0.24987921598917248,0.2195442071838218,0.23434867605848048,0.21603142852653337,0.2157028512421831,0.38549587379232825
18,0.16427456765702034,0.13680464183060909,0.1386198161367231,0.28250676878605946,0.28287912627945877,0.3684591640046549
19,0.2864829156972504,0.30678033600165044,0.2854010333155657,0.18828519585820952,0.18815094784138617,0.3455797690776605
20,0.16883250084762394,0.21202687751542626,0.19565391464368778,0.1813877580753639,0.18139629659532788,0.32561817800937504
21,0.2389134637353632,0.25784395940393506,0.2646319889953021,0.16065125053311485,0.160587364089492,0.4406483572345142
22,0.24377687662807543,0.2366651033582157,0.23337342991919452,0.19175233023950056,0.1915317942578722,0.25546519991727273
23,0.2705930992861032,0.2644483084689345,0.25666447029741024,0.23137775469321228,0.23113236437491286,0.447983044412095
24,0.21988034558110406,0.23251635009381771,0.22579690176011508,0.18247562399376033,0.18253174715892143,0.2867892153280632
25,0.22915045905768056,0.21051999635520435,0.2132055441738327,0.24567279819717971,0.24548996506424461,0.315508092935384
26,0.1946043598745452,0.18997600356801894,0.18781212877542344,0.15381043730502342,0.15378111150149812,0.32457168080170357
