,model1,model2,model3,model4,model5
0,3.7343705522427637,3.577204997192457,3.68627243606122,3.003792794569397,4.13990458779142
1,2.4875844445666884,2.5222254408207694,2.359067354634942,2.502681300613426,3.665052591078789
2,3.487779733675702,3.2657903009690994,3.0399988913111704,2.533268838572963,4.151282704683995
3,3.5169553391216053,3.420814628772941,3.486595677911393,4.163363524179748,4.814686369906455
4,3.1658415681068726,2.898634136575101,3.04125501138517,3.0983058884317094,4.146141918801271
5,3.5870786715702105,3.7724610740636213,3.5931812351779575,2.8438241716890484,4.379220581186269
6,3.3991388843305077,2.9438203889127994,2.9170377782687096,3.5405733529117724,4.52596278999311
7,3.9962582403269806,3.736852697357668,3.865001972097011,3.52987832603194,4.296463788778013
8,2.228900878376792,1.9548406682926267,1.9144794261910802,2.400181215682039,3.1871815687266385
9,3.449257983928739,3.418432714633203,3.2574814485775225,3.0069450261904502,4.248433264064555
10,3.551742972076561,3.637982069315692,3.3465329258495764,3.949546476903365,4.189264595561588
11,3.457372188186601,3.306408721401823,3.3519562241468224,2.558762039637761,3.7455983304619354
12,3.5099307779063547,3.3286548543375725,3.3424559875386555,2.707673095549662,4.291742766637396
13,3.4600489873262217,3.274290990025456,3.3075933361052647,3.1458350317981374,4.244822941786581
14,3.0675547200097415,2.970956708004061,2.6492608457695233,2.467562087535838,3.7439664614760275
15,3.203045504730777,3.297117045251518,3.405531610737432,2.5859179159004766,4.453233753399054
16,2.6326424054746003,2.395722931531349,2.507856745934335,3.785867356683712,4.755200202749886
17,2.9258664022403806,2.5329910969528147,2.3044122914408307,3.2889774864205767,4.748854897727053
18,3.6276108368862796,3.178134327367447,3.1631246798502675,4.36583260141068,4.858888598055986
19,3.111087774701275,3.1394493746344456,2.9493662669650473,4.416426770677419,4.7118667703641535
20,2.6216987413485096,3.0141375440598965,2.9864288805582664,2.179640607991242,3.4237321041884314
21,3.603082141135946,3.5472957141331736,3.609178018060125,3.6612698416917233,4.279890745042067
22,3.9590535305126773,3.7064770707416477,3.8219397249329803,2.347563387274504,3.87715168246722
23,3.356699183139426,3.069150912792914,3.0638983695245936,3.458606253235951,3.998379734512615
24,3.379523852564518,3.2771198207839505,3.2580218419971017,2.488237728565935,3.737857663167766
25,3.205298888016792,2.9319546791115534,2.7490358588593327,3.5555719950356175,3.7711673505326146
26,3.101844294109632,2.8165563127792037,2.661735402491223,2.655664357915785,4.117629592494354
27,3.5914249998630234,3.503220457933023,3.362367312018942,3.128885156311065,3.984493371678802
28,3.1787307944369814,3.1699010923164077,2.946095559931694,2.1279439286315203,4.07065267650541
29,2.567201128501683,3.0725035039772726,2.914880710784293,2.88061907919521,3.5577015544622
30,3.3315784747746737,2.7695258980864654,2.859026847578449,2.3616808758063,4.167196846701329
31,2.690735683002106,2.101331013316356,2.172245332530647,2.6846515100818604,4.061087020430445
32,2.460380000521565,2.5961215420401156,2.292890749516587,3.090463165133335,3.4444142609498836
33,3.0860447412470284,2.8465008756948955,2.9521691246319466,3.413739202862017,4.504315879451502
34,3.6322160751365096,3.6385632505235583,3.6716878245091555,3.096312830339115,3.5435607799471107
35,2.3630295020411887,2.364165197326588,2.5336384421624163,2.3362957287113937,3.1126706800372905
36,3.2283419638941564,3.0916390408933427,3.119799964989929,2.471934889957401,4.487643110014165
37,3.462796022721808,3.484603857045294,3.516978385296991,3.3395908677173796,4.763673287041462
38,3.612868196660454,3.5544624534524427,3.569836735686294,3.560042886307815,3.96253956897458
39,2.6248776976521615,2.538192852430956,2.5637946312613633,3.8607848448941353,4.625664148631779
40,2.6817322109545874,2.6025531849195462,2.6601520019225044,3.609818911927814,4.605828295281414
41,2.4012088374817098,2.3438377541175983,2.377463378901335,3.670412065021128,4.580872399725824
42,2.704087686289535,2.50499635668449,2.5516266291558147,3.215004542543937,4.842084626835514
43,3.212549890749183,3.0247635372978072,3.160547730594115,2.7234669133701406,4.544285837342418
44,4.17289953145316,3.787439323207192,3.918441403613818,2.245301673903482,4.262494464330387
45,2.3477872060905556,2.2393545684051066,2.3718616615344006,3.7763246618969855,4.656238572280149
46,3.5845229295278975,3.4391828081852993,3.3986566767990385,4.597114866183124,4.962880847669695
47,2.428754005140834,2.231260916289918,2.2712547200666147,2.4528386637805673,3.7932020334351786
48,3.099558690200597,2.6384501987962947,2.635497212203306,2.745828763687942,4.07703774447678
49,3.4073510640042084,3.652086470973018,3.555501831385048,3.1590695599332457,4.032852517484596
50,3.3743187446933436,3.511762256983993,3.540610721709445,3.400148594816681,4.080943108506129
51,3.376366003889492,3.2139433131014195,3.4899163266828106,4.037243820729541,4.22954213386923
52,3.52039193365266,3.193098098505875,3.326498627711436,3.939804605907284,4.261654545425923
53,3.172021595828023,2.9377010093495537,2.908418446067018,2.787578231527372,4.036427953912511
54,3.4734918549023455,3.3514722705854534,3.4254819640627483,3.0978776472287275,4.389531748238659
55,3.895162622212117,3.6693349566634557,3.5543344595105326,3.3886248372681513,4.007783305230496
56,3.545982254379314,3.3473116505985994,3.25979166685241,3.205469797236279,4.448720303437668
57,3.9794655863289017,3.8396210166110687,3.9626289185230243,4.184020228274208,4.221427703089854
58,3.4772201832333227,3.23365997061847,3.3281640468284297,3.0511388878640933,4.34101924466791
59,3.965055939182992,4.06707632729657,4.080981378342264,2.624819067537298,3.972087033747621
60,3.574110744213056,3.360572072440584,3.3378738563111803,3.3009988759509588,4.640331197373363
61,3.583052653174808,3.6048007911314857,3.537495214866235,2.763320336683471,4.37000724556542
62,3.1661041133986974,3.0553667323849734,2.9411576111148534,2.5018020788148654,3.7580152948614165
63,3.669857816693179,3.4782098024769326,3.414028111248101,2.12399214788625,4.057860380318082
64,3.4878197436549416,3.5167066171101706,3.450655090631244,2.2634334302598114,3.8052583064254537
65,3.6574568277482613,3.5398749064176833,3.548904031084872,3.6443010040249173,4.122291138294403
66,3.6810547896765393,3.5710792667341895,3.4966204424744194,2.7189629542255283,4.372818190555011
67,3.538023210150566,3.515826851610985,3.58792845302517,3.482884136169258,4.014518308749396
68,2.854788206988787,3.0326134707009076,2.9894317357952924,2.100943605598647,3.030789006407006
69,3.1240332641349187,3.2019984250876297,3.297207254970266,2.886635149481146,3.4098264902541677
70,3.8825001154968715,3.693346215172596,3.655638778821037,2.6925735304584326,4.191012987685048
71,3.5818265129756774,3.4249406223756163,3.383091146018917,3.4202872706790703,4.081129792607959
72,3.610771354478007,3.4093123634157374,3.5636524679231996,2.8865936260159395,4.134427261031223
