,model1,model2,model3,model4,model5,model6
0,3.713498642337006,3.724063066704748,3.624759316494556,3.708871892933125,3.5493244845962213,3.6723118580959246
1,3.1754867955947526,3.0164278845172947,3.0981332587140544,3.2781618382227857,3.0388395093576674,3.4247377833341317
2,3.334144185206297,3.328590563413407,3.4072866352866322,4.271401786157192,3.5696842701623277,4.195474794123042
3,3.2067836020926612,3.303267397258205,3.4438767388930076,3.922225904211218,3.342972019093105,3.8065295648647073
4,3.666301500950564,3.730100298180664,3.6661992622604016,3.5056538663900274,3.6648718699808827,3.888789873371995
5,3.2158430226252603,3.0568792114986607,3.0891770409517707,3.704890463253603,3.5735173145155157,3.9419958431343334
6,2.9760081215695187,2.649404681672445,2.4870466893688823,2.9826677560719177,2.5664513517860867,3.0392913881462635
7,4.069209456640049,3.8245625945551427,4.004176730385328,3.635983001228632,3.933806109914027,3.7150525407673647
8,3.4611167296560534,3.5947038075554016,3.3958383790714053,4.181183534519398,3.5789484647540957,3.694258630697067
9,3.2150339301364705,2.9792451629123,3.0843902809325314,2.7093004193424357,3.6085653752208886,3.3309925404508642
10,3.6862295322423226,3.7042870603511457,3.5903242115851306,3.4568088004791453,3.6723184108202434,3.775562126922056
11,3.574049099982362,3.4124904128923554,3.568171533671763,3.6263519118135275,3.567389608156793,3.7227612523978166
12,4.147961421483855,3.9712876466275513,3.91336369984795,3.4395105422159498,3.934292387140125,3.8142164728568284
13,3.2434243345542404,3.5493116892492793,3.8113416935948594,3.7718128137174944,3.760940348854818,4.05457199517954
14,2.9645991153183817,3.0051330323154066,2.7189967007763274,4.317269537836884,3.430342859192516,4.175845543383499
15,3.2680472536723406,3.1205680117294663,3.0527995536036805,3.816848482288134,3.5308847535821704,4.060775250818741
16,3.0780751847677204,3.126185551859359,3.1902951462524225,4.342577214987203,3.585572233810095,4.152394461335377
17,3.175346121329655,3.1533726507029827,3.128625844446056,4.226959757625435,3.3822904386188193,4.279950486034259
18,3.522392811347271,3.424675514362331,3.4894058207919585,3.8672715573400422,3.748292605630704,3.8426459880656836
19,3.450310968026064,3.4172073225773376,3.6860502726146485,3.852516036993415,3.7909632890862577,3.573821306707933
20,3.718656674604984,3.6352330050077777,3.7214260450877137,3.1784649114144097,3.6471364453734365,3.4074109676672517
21,3.200166656830391,3.4483644590777556,3.277179609222109,3.679356208760619,3.3693942722306978,3.2086351140373703
22,3.594190439455693,3.525943555139289,3.3285328377937686,3.288226935164599,3.5947803454206655,3.698458638416377
23,3.533057001944777,3.5488547825116235,3.527685416909056,3.77502377490978,3.8661220093497883,3.631086900064603
24,3.755342145937104,3.731813123359621,3.8153890403470268,3.1079300428195,3.9806563398940167,3.617994769431915
25,3.256421996018657,3.321334071700214,3.1102558162144986,3.7043703088305757,3.5758891893524782,3.4358879452685507
